System,Dataset,Model,MAE,MAPE,RMSE
batlik,cubus.csv,XGBoost,0.10161661381004965,0.6996850058125339,0.1319309923105054
batlik,cubus.csv,Linear Regression,0.233639374598938,0.9410006962576369,0.32573554806911725
batlik,cubus.csv,XGBoost,0.1056798387765659,0.5877342106719984,0.13901723785686984
batlik,flame.csv,Linear Regression,0.15656093973639998,0.3562078832059501,0.2039053802068899
batlik,flame.csv,XGBoost,0.09766683652618538,0.23369414150943607,0.12387824453864923
batlik,flame.csv,Linear Regression,0.1500950121206069,0.34480077352012517,0.20291236856988393
batlik,flame.csv,XGBoost,0.09370610793390724,0.2206615640127425,0.12158848613682494
batlik,flame.csv,Linear Regression,0.16020715299722676,0.33684013773400107,0.2139288648578081
batlik,flame.csv,XGBoost,0.09434824027351342,0.20199414337118662,0.12166282312295505
batlik,flame.csv,Linear Regression,0.16090265997506487,0.4057603998671977,0.21274906252996512
batlik,flame.csv,XGBoost,0.09533431514529503,0.22720435768083902,0.12369436134667486
batlik,flame.csv,Linear Regression,0.161930602420416,0.3567621098342544,0.21723310460161638
batlik,flame.csv,XGBoost,0.09701452132591948,0.18361012209695649,0.12417381422395786
batlik,france.csv,Linear Regression,0.14280672055750776,0.5862608040622805,0.18752944739865962
batlik,france.csv,XGBoost,0.07439235561307536,0.421215838147896,0.09678550239036388
batlik,france.csv,Linear Regression,0.13448193810664863,0.504895431670526,0.18254294489572853
batlik,france.csv,XGBoost,0.07191789849734594,0.3840899837055677,0.09422603163821443
batlik,france.csv,Linear Regression,0.14344367174917247,0.6003913914014003,0.18798438761192682
batlik,france.csv,XGBoost,0.07341922780852123,0.4457636338377973,0.09511805467497161
batlik,france.csv,Linear Regression,0.14419998606523846,0.7736230412977064,0.18807410929006538
batlik,france.csv,XGBoost,0.07408333767149092,0.5503858804803491,0.09769911641969922
batlik,france.csv,Linear Regression,0.1482592875127274,0.5755846425287522,0.19905615382627706
batlik,france.csv,XGBoost,0.080866830674239,0.3758198518474108,0.1055033482946036
batlik,frisco.csv,Linear Regression,0.27670435533548154,0.9030845695082669,0.3656300051131395
batlik,frisco.csv,XGBoost,0.16263180771693383,0.6473530266020278,0.20591985683735622
batlik,frisco.csv,Linear Regression,0.25532760982566644,1.032272163598124,0.342424938673607
batlik,frisco.csv,XGBoost,0.16499353671148206,0.6446029484675712,0.2082952768332447
batlik,frisco.csv,Linear Regression,0.2817912374207558,1.0896287373294427,0.3762865008606387
batlik,frisco.csv,XGBoost,0.16470264900350953,0.6096771536730521,0.2086636274414278
batlik,frisco.csv,Linear Regression,0.2685361823085983,1.184934462064227,0.36018593641563484
batlik,frisco.csv,XGBoost,0.16586175116864324,1.0489895735650638,0.20473007944981866
batlik,frisco.csv,Linear Regression,0.285378525084573,1.3870214237322214,0.3881503694111107
batlik,frisco.csv,XGBoost,0.16354356006598042,0.9481089722812006,0.20477369175169974
